Bisection 18.0 20.0 0.000 2.18e-01
Linear Interp 16.3 18.3 0.000 2.18e-01
Secant 100.0 102.0 0.000 1.53e+02
Newton-Raphson 5.0 10.0 0.000 1.10e-05
Newton w/Bracket 7.7 17.3 0.000 2.18e-01
Muller 4.3 6.3 0.000 1.10e-05
